Date,Late_fl
2021-08-02,1
2021-08-03,1
2021-08-04,1
2021-08-05,1
2021-08-06,1
2021-08-07,0
2021-08-08,0
2021-08-09,0
2021-08-10,1
2021-08-11,1
2021-08-12,0
2021-08-13,1
2021-08-14,0
2021-08-15,0
2021-08-16,0
2021-08-17,1
2021-08-18,1
2021-08-19,1
2021-08-20,1
2021-08-21,0
2021-08-22,0
2021-08-23,0
2021-08-24,1
2021-08-25,0
2021-08-26,1
2021-08-27,0
2021-08-28,0
2021-08-29,0
2021-08-30,0
2021-08-31,1
2021-09-01,1
2021-09-02,1
2021-09-03,1
2021-09-04,0
2021-09-05,0
2021-09-06,1
2021-09-07,1
2021-09-08,1
2021-09-09,0
2021-09-10,1
2021-09-11,0
2021-09-12,0
2021-09-13,0
2021-09-14,1
2021-09-15,1
2021-09-16,1
2021-09-17,1
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,0
2021-09-22,0
2021-09-23,0
2021-09-24,0
2021-09-25,0
2021-09-26,0
2021-09-27,1
2021-09-28,1
2021-09-29,1
2021-09-30,1
2021-10-01,1
2021-10-02,0
2021-10-03,0
2021-10-04,0
2021-10-05,1
2021-10-06,1
2021-10-07,1
2021-10-08,0
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,1
2021-10-13,1
2021-10-14,1
2021-10-15,1
2021-10-16,0
2021-10-17,0
2021-10-18,0
